,MAE,RMSE,R,Lag
2017/18_106,3.629,4.658,0.962,5.0
2014/15_107,2.08,3.239,0.92,-1.0
2015/16_107,2.982,4.807,0.896,7.0
2016/17_107,1.864,2.879,0.906,-9.0
2017/18_107,4.38,6.065,0.955,5.0
2014/15_108,2.335,3.674,0.93,-1.0
2015/16_108,2.893,4.551,0.886,-25.0
2016/17_108,2.031,3.131,0.914,-10.0
2017/18_108,4.213,5.77,0.928,-12.0
2014/15_109,2.622,3.852,0.915,-2.0
2015/16_109,5.133,6.719,0.776,-83.0
2016/17_109,1.59,2.403,0.924,-20.0
2017/18_109,4.102,5.662,0.953,15.0
2014/15_110,2.008,2.652,0.911,-1.0
2015/16_110,2.751,4.11,0.845,-59.0
2016/17_110,1.549,2.475,0.905,-18.0
2017/18_110,4.137,5.821,0.967,5.0
2014/15_111,1.896,2.97,0.93,-1.0
2015/16_111,3.064,4.969,0.899,7.0
2016/17_111,1.743,2.706,0.909,-16.0
2017/18_111,3.995,5.614,0.958,-3.0
2014/15_112,2.306,3.654,0.912,-1.0
2015/16_112,2.865,4.129,0.875,-25.0
2016/17_112,1.951,3.007,0.919,-12.0
2017/18_112,4.347,5.825,0.96,6.0
2014/15_113,2.716,3.599,0.904,8.0
2015/16_113,3.203,5.329,0.859,9.0
2016/17_113,1.941,3.02,0.922,-12.0
2017/18_113,6.58,9.882,0.909,7.0
2014/15_114,1.827,2.374,0.93,9.0
2015/16_114,3.069,4.956,0.901,7.0
2016/17_114,1.57,2.361,0.914,-16.0
2017/18_114,4.007,5.318,0.954,-11.0
2014/15_115,2.193,3.464,0.914,6.0
2015/16_115,2.905,4.577,0.879,-25.0
2016/17_115,1.833,2.869,0.915,-16.0
2017/18_115,4.152,6.358,0.94,6.0
2014/15_116,1.71,2.694,0.934,-1.0
2015/16_116,2.621,3.771,0.847,-60.0
2016/17_116,1.894,2.958,0.907,-10.0
2017/18_116,4.605,7.7,0.954,5.0
2014/15_117,2.879,3.521,0.901,8.0
2015/16_117,2.27,3.745,0.827,-83.0
2016/17_117,1.365,2.022,0.929,-12.0
2017/18_117,3.819,4.869,0.975,6.0
2014/15_118,1.809,2.631,0.925,-1.0
2015/16_118,2.787,4.597,0.874,-60.0
2016/17_118,1.5,2.385,0.904,-18.0
2017/18_118,3.783,4.747,0.958,-11.0
2014/15_119,2.204,3.455,0.913,-1.0
2015/16_119,2.79,4.396,0.885,-25.0
2016/17_119,1.866,2.904,0.902,-16.0
2017/18_119,4.066,6.241,0.966,5.0
2014/15_120,1.834,2.916,0.938,-1.0
2015/16_120,2.834,4.613,0.865,9.0
2016/17_120,1.95,3.028,0.907,-11.0
2017/18_120,4.15,5.44,0.939,5.0
2014/15_121,2.19,2.808,0.9,-1.0
2015/16_121,2.53,3.611,0.845,-58.0
2016/17_121,1.495,2.013,0.917,-17.0
2017/18_121,3.008,3.706,0.98,14.0
2014/15_122,1.85,2.459,0.919,-1.0
2015/16_122,2.595,4.003,0.882,-60.0
2016/17_122,1.521,2.358,0.914,-18.0
2017/18_122,4.121,6.138,0.953,5.0
2014/15_123,2.441,3.799,0.909,6.0
2015/16_123,2.891,4.601,0.882,-25.0
2016/17_123,1.97,3.037,0.907,-12.0
2017/18_123,3.908,5.881,0.967,5.0
2014/15_124,1.73,2.537,0.924,-1.0
2015/16_124,2.77,4.463,0.867,-60.0
2016/17_124,1.754,2.771,0.921,-16.0
2017/18_124,4.247,6.579,0.966,5.0
2014/15_125,2.867,3.437,0.917,-1.0
2015/16_125,2.361,3.369,0.887,25.0
2016/17_125,1.665,2.299,0.891,-15.0
2017/18_125,3.067,3.74,0.977,6.0
2014/15_126,2.168,3.338,0.924,-1.0
2015/16_126,2.894,4.211,0.845,-60.0
2016/17_126,1.483,2.2,0.909,-19.0
2017/18_126,3.397,4.193,0.971,6.0
2014/15_127,1.689,2.4,0.926,-1.0
2015/16_127,2.928,4.754,0.871,-60.0
2016/17_127,1.85,2.894,0.918,-19.0
2017/18_127,3.966,5.439,0.964,5.0
2014/15_128,1.789,2.564,0.924,-1.0
2015/16_128,2.769,4.454,0.842,-60.0
2016/17_128,1.85,2.844,0.919,-17.0
2017/18_128,4.67,6.882,0.963,5.0
2014/15_129,7.626,9.766,0.611,-73.0
2015/16_129,7.838,10.264,0.834,29.0
2016/17_129,3.15,4.844,0.907,-12.0
2017/18_129,10.532,17.742,0.7,19.0
2014/15_130,1.624,2.378,0.924,-1.0
2015/16_130,2.544,3.98,0.884,-25.0
2016/17_130,1.582,2.229,0.903,-19.0
2017/18_130,3.741,5.041,0.973,5.0
2014/15_131,1.552,2.208,0.939,-1.0
2015/16_131,2.235,3.586,0.894,24.0
2016/17_131,1.453,1.996,0.926,-18.0
2017/18_131,3.678,5.915,0.964,16.0
2014/15_132,1.422,2.1,0.94,-1.0
2015/16_132,2.356,3.432,0.887,9.0
2016/17_132,1.375,1.922,0.928,-19.0
2017/18_132,2.854,4.133,0.974,15.0
2014/15_133,7.758,9.882,-0.104,-70.0
2015/16_133,3.858,6.133,0.848,10.0
2016/17_133,2.755,4.102,0.891,-12.0
