,Likelihood_Loss,KL_Loss,Loss,mae,mse
168,96.69734191894531,472.37271881103516,[21.262323058687166],[2.4775245],[32.058044]
169,110.82186889648438,470.34400939941406,[21.794261883014673],[2.761349],[39.361027]
170,116.63516235351562,468.60363006591797,[22.350647579059142],[3.0793815],[42.25385]
171,112.1368408203125,466.7699661254883,[21.380251711118536],[2.7217157],[40.71412]
172,106.828369140625,464.9025001525879,[21.43756243951954],[2.7580743],[34.58415]
173,91.56810760498047,462.92508697509766,[20.842005772570072],[2.6017542],[28.5498]
174,93.780517578125,461.2207374572754,[21.7837052042662],[3.243273],[47.15514]
175,105.01810455322266,459.44411849975586,[21.312746260684726],[3.0941484],[52.584747]
176,113.06809997558594,457.56088638305664,[20.978996882083162],[2.5607717],[35.421173]
177,105.21349334716797,455.6033363342285,[21.36880519841089],[2.8896484],[37.74773]
178,114.32357025146484,453.6107406616211,[20.603307285649645],[2.564647],[34.515377]
179,112.85047912597656,451.42028427124023,[20.067001092455964],[2.1134527],[20.336021]
180,96.89188385009766,449.4818534851074,[20.48891295846127],[2.54706],[26.218256]
181,117.24784851074219,447.4198341369629,[20.24185388909397],[2.4111469],[27.271204]
182,90.98174285888672,445.36538314819336,[20.302692059595056],[2.328917],[21.073095]
183,99.35476684570312,443.3563690185547,[20.2653885475295],[2.4062123],[29.090939]
184,102.2773666381836,441.55640411376953,[20.86484850415167],[2.7342],[30.622637]
185,88.4818115234375,439.5197525024414,[19.954141253684675],[2.469875],[25.30508]
186,80.6438217163086,437.4264717102051,[19.755745209078693],[2.20799],[15.864964]
187,104.46878814697266,435.5740432739258,[19.907359573918953],[2.6619768],[28.91137]
188,103.52570343017578,433.50086975097656,[19.50688192422788],[2.4320781],[29.966772]
189,90.24794006347656,431.3310966491699,[19.11364537025776],[2.048041],[18.509232]
190,86.41093444824219,429.3414535522461,[19.40177778571899],[2.3286428],[25.868849]
191,96.77919006347656,427.2466926574707,[19.02388683161615],[2.1855865],[20.631233]
192,90.91706848144531,425.0253486633301,[18.982445567019987],[2.1762903],[22.082926]
193,96.83434295654297,422.9820976257324,[18.94759523082646],[2.3702204],[29.899685]
194,110.15885925292969,421.22779846191406,[19.828907627568743],[2.8901126],[34.46304]
195,111.28898620605469,419.4238471984863,[19.268939746285543],[2.398514],[23.21785]
196,103.20630645751953,417.6144104003906,[19.010169575115963],[2.3610103],[22.093777]
197,94.13085174560547,415.7632026672363,[19.442044942671327],[2.4746528],[22.169699]
198,103.92878723144531,413.8102912902832,[19.0003248016113],[2.540314],[31.44377]
199,114.10861206054688,411.82980728149414,[18.755023669550173],[2.4836273],[27.684055]
200,115.8019027709961,410.0177192687988,[19.008740673664537],[2.822814],[38.96914]
201,91.64042663574219,408.12281799316406,[18.531140791069777],[2.3871615],[20.084078]
202,110.85079956054688,406.3194808959961,[18.601435069603017],[2.515885],[35.131393]
203,117.96004486083984,404.4233741760254,[18.645400724804702],[2.601728],[34.67456]
